Shot Number,Partition,Made,Makes,Save,Missed Goal,conversion_rate_other,prop_nc_missed_other,,prop_shots_other
224,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
225,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
226,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
227,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
228,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
229,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
230,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
231,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
232,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
233,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
234,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
235,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
236,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
237,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
238,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
239,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
240,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
241,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
242,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
243,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
244,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
245,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
246,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
247,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
248,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
249,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
250,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
251,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
252,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
253,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
254,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
255,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
256,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
257,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
258,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
259,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
260,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
261,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
262,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
263,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
264,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
265,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
266,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
267,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
268,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
269,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
270,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
271,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
272,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
273,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
274,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
275,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
276,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
277,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
278,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
279,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
280,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
281,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
282,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
283,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
284,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
285,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
286,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
287,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
288,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
289,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
290,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
291,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
292,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
293,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
294,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
295,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
296,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
297,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
298,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
299,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
300,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
301,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
302,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
303,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
304,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
305,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
306,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
307,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
308,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
309,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
310,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
311,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
312,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
313,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
314,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
315,Bottom Left,0,,1,0,0.792553191,0.128205128,,0.34953271
316,Bottom Left,0,,0,1,0.792553191,0.105263158,,0.34953271
317,Bottom Left,0,,0,1,0.792553191,0.105263158,,0.34953271
318,Bottom Left,0,,0,1,0.792553191,0.105263158,,0.34953271
319,Bottom Left,0,,0,1,0.792553191,0.105263158,,0.34953271
320,Bottom Left,0,,0,1,0.792553191,0.105263158,,0.34953271
321,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
322,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
323,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
324,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
325,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
326,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
327,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
328,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
329,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
330,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
331,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
332,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
333,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
334,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
335,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
336,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
337,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
338,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
339,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
340,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
341,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
342,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
343,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
344,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
345,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
346,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
347,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
348,Bottom Middle Left,1,,0,0,0.5625,0,,0.087850467
349,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
350,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
351,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
352,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
353,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
354,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
355,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
356,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
357,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
358,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
359,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
360,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
361,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
362,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
363,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
364,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
365,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
366,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
367,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
368,Bottom Middle Left,0,,1,0,0.583333333,0,,0.087850467
369,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
370,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
371,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
372,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
373,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
374,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
375,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
376,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
377,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
378,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
379,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
380,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
381,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
382,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
383,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
384,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
385,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
386,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
387,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
388,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
389,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
390,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
391,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
392,Bottom Middle Right,1,,0,0,0.638888889,0,,0.065420561
393,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
394,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
395,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
396,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
397,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
398,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
399,Bottom Middle Right,0,,1,0,0.666666667,0,,0.065420561
